net,length_um
net370,50.52µm
net62,50.34µm
net714,50.32µm
clknet_0_net766,50.2µm
net800,50.16µm
net898,49.74µm
net321,49.56µm
net805,49.44µm
clknet_1_1__leaf_net743,49.41µm
net777,49.22µm
net503,48.92µm
net284,48.9µm
net74,48.9µm
net279,48.46µm
net875,48.44µm
net428,48.1µm
net196,48µm
net683,47.98µm
net423,47.97µm
net613,47.66µm
net879,47.64µm
net558,47.54µm
net773,47.48µm
net792,47.35µm
net339,47.18µm
net69,47.08µm
net433,47.065µm
net729,46.82µm
net57,46.7µm
net235,46.62µm
net906,46.58µm
net1069,46.5µm
net140,46.35µm
net607,46.22µm
net722,46.1µm
clknet_1_1__leaf_net500,45.605µm
clknet_1_1__leaf_net501,45.5µm
clknet_1_0__leaf_net122,45.46µm
net475,45.34µm
net793,45.29µm
clknet_1_1__leaf_net742,45.27µm
clknet_1_0__leaf_net975,45.165µm
clknet_1_0__leaf_net552,45.1µm
net1071,45.05µm
net210,45.02µm
net138,44.76µm
net350,44.66µm
net347,44.645µm
clknet_0_net552,44.64µm
net158,44.54µm
net943,44.54µm
net100,44.53µm
net1013,44.505µm
clknet_1_1__leaf_net490,44.36µm
clknet_1_0__leaf_net490,44.32µm
net823,44.3µm
net762,44.26µm
net976,44.26µm
clknet_0_net925,44.18µm
net70,44.06µm
net114,43.93µm
clknet_1_0__leaf_net593,43.72µm
net394,43.66µm
net501,43.22µm
net843,43.06µm
net932,43.04µm
net53,42.9µm
clknet_1_0__leaf_net743,42.88µm
clknet_1_1__leaf_net407,42.85µm
net806,42.84µm
net447,42.76µm
net485,42.76µm
net578,42.68µm
net267,42.61µm
net51,42.29µm
net689,42.255µm
net824,42.18µm
net814,42.12µm
net726,41.94µm
clknet_1_0__leaf_net563,41.815µm
net24,41.71µm
net682,41.58µm
net275,41.5µm
net744,41.37µm
net924,41.37µm
net648,41.28µm
clknet_0_net299,41.22µm
net42,40.84µm
clknet_1_0__leaf_net297,40.74µm
net81,40.73µm
net864,40.64µm
net253,40.59µm
net958,40.54µm
clknet_1_0__leaf_net144,40.54µm
net471,40.28µm
clknet_1_1__leaf_net485,40.16µm
net143,40.12µm
net80,39.755µm
net331,39.685µm
clknet_1_0__leaf_net120,39.64µm
clknet_0_net939,39.6µm
clknet_0_net570,39.58µm
clknet_1_0__leaf_net613,39.5µm
clknet_1_0__leaf_net843,39.44µm
net287,39.36µm
net335,39.18µm
clknet_1_0__leaf_net251,39.145µm
net787,39.13µm
net961,38.86µm
clknet_1_0__leaf_net141,38.86µm
clknet_1_0__leaf_net621,38.56µm
net893,38.24µm
net257,38.16µm
net338,38.03µm
net155,37.94µm
clknet_1_1__leaf_net975,37.74µm
net38,37.48µm
net700,37.45µm
clknet_1_0__leaf_net574,37.32µm
clknet_1_1__leaf_net144,37.32µm
clknet_0_net957,37.28µm
clknet_1_0__leaf_net765,37.12µm
clknet_1_0__leaf_net296,37.08µm
net668,37.06µm
net766,37.02µm
net171,36.98µm
net142,36.94µm
net565,36.92µm
net296,36.72µm
net579,36.54µm
net652,36.52µm
net740,36.45µm
net354,36.36µm
net241,36.27µm
net620,36.26µm
net574,36.22µm
net657,36.205µm
net971,36.16µm
net970,35.97µm
net797,35.84µm
net207,35.785µm
net49,35.48µm
net540,35.11µm
net602,35.1µm
clknet_0_net616,35.08µm
clknet_0_net780,34.94µm
net912,34.84µm
clknet_1_1__leaf_net623,34.84µm
net537,34.71µm
net6,34.68µm
net198,34.54µm
