net,length_um
clknet_1_1__leaf_net701,15.46µm
net939,15.42µm
net684,15.265µm
net666,15.14µm
in5,15.12µm
net475,15.04µm
clknet_1_1__leaf_net480,14.96µm
net203,14.86µm
net914,14.81µm
net548,14.76µm
net341,14.725µm
in35,14.46µm
in15,14.44µm
in8,14.42µm
clknet_1_1__leaf_net396,14.37µm
in18,14.12µm
net208,14.06µm
net737,13.88µm
net179,13.81µm
net485,13.8µm
net617,13.76µm
in9,13.74µm
net315,13.74µm
net709,13.72µm
net942,13.72µm
net339,13.66µm
net287,13.54µm
in4,13.44µm
net251,13.42µm
net248,13.345µm
net229,13.32µm
net474,13.32µm
net165,13.3µm
net496,13.3µm
clknet_1_0__leaf_net594,13.26µm
net498,13.165µm
net259,13.09µm
in34,13.08µm
clknet_1_0__leaf_net600,12.98µm
net477,12.96µm
net758,12.96µm
clknet_0_net485,12.92µm
net916,12.92µm
net941,12.82µm
clknet_1_1__leaf_net485,12.74µm
net604,12.665µm
net947,12.62µm
net176,12.58µm
net389,12.5µm
net630,12.5µm
net673,12.46µm
out21,12.4µm
net147,12.325µm
net497,12.24µm
net940,12.24µm
net927,12.2µm
net266,12.18µm
clknet_0_net478,12.16µm
net353,12.12µm
net145,12.06µm
clknet_1_1__leaf_net592,11.92µm
in33,11.9µm
net380,11.89µm
in54,11.78µm
net616,11.73µm
in11,11.7µm
out4,11.68µm
net731,11.66µm
net602,11.56µm
in12,11.44µm
out36,11.36µm
net701,11.3µm
net876,11.24µm
in60,11.22µm
net171,11.16µm
in49,11.14µm
in58,11.14µm
net391,11.12µm
net632,11.12µm
net699,11.12µm
net585,11.11µm
net657,11.09µm
net658,11.09µm
net17,10.96µm
net850,10.84µm
net937,10.82µm
net489,10.78µm
in17,10.76µm
in37,10.76µm
in7,10.675µm
net600,10.52µm
net613,10.51µm
net220,10.5µm
out2,10.44µm
out9,10.44µm
net409,10.32µm
net872,10.29µm
net748,10.28µm
net763,10.28µm
net869,10.28µm
clknet_1_1__leaf_net594,10.28µm
net21,10.26µm
in32,10.22µm
net376,10.17µm
clknet_1_1__leaf_net478,10.16µm
net694,10.09µm
out11,9.98µm
net564,9.94µm
net164,9.9µm
net932,9.9µm
out20,9.88µm
net712,9.86µm
net295,9.76µm
net645,9.68µm
net580,9.64µm
net742,9.56µm
in39,9.52µm
in6,9.52µm
net242,9.52µm
net40,9.52µm
net335,9.48µm
net132,9.44µm
net358,9.44µm
in2,9.4µm
in27,9.4µm
net665,9.4µm
net530,9.36µm
net290,9.34µm
net175,9.24µm
in3,9.07µm
out14,9.06µm
net180,9.02µm
net338,9.02µm
in41,8.97µm
net696,8.96µm
out18,8.96µm
out26,8.96µm
out45,8.96µm
out48,8.96µm
out49,8.96µm
out54,8.96µm
out55,8.96µm
out59,8.96µm
clknet_0_net469,8.96µm
net661,8.94µm
net576,8.775µm
in20,8.72µm
in23,8.72µm
in30,8.72µm
in50,8.72µm
net436,8.66µm
in16,8.63µm
in44,8.63µm
net509,8.6µm
net746,8.58µm
in10,8.51µm
net155,8.5µm
net633,8.5µm
out1,8.5µm
out10,8.5µm
out13,8.5µm
out19,8.5µm
out23,8.5µm
out25,8.5µm
out28,8.5µm
out29,8.5µm
out31,8.5µm
out32,8.5µm
out33,8.5µm
out35,8.5µm
out41,8.5µm
out42,8.5µm
out46,8.5µm
out5,8.5µm
out51,8.5µm
out52,8.5µm
out53,8.5µm
out56,8.5µm
out57,8.5µm
out60,8.5µm
clknet_1_1__leaf_net737,8.44µm
net537,8.4µm
in24,8.39µm
in26,8.39µm
in28,8.39µm
in42,8.39µm
in47,8.39µm
in57,8.39µm
net479,8.22µm
in48,8.15µm
in53,8.15µm
net641,8.14µm
clknet_1_1__leaf_net462,8.1µm
net432,8.06µm
net453,7.98µm
net710,7.98µm
net360,7.94µm
net397,7.84µm
net592,7.82µm
net944,7.82µm
in29,7.81µm
in43,7.81µm
net581,7.76µm
net753,7.76µm
net450,7.725µm
net619,7.725µm
in31,7.71µm
in36,7.71µm
in45,7.71µm
in0,7.69µm
net30,7.64µm
net457,7.64µm
net752,7.63µm
net264,7.62µm
net55,7.6µm
net493,7.52µm
net240,7.405µm
in40,7.37µm
clknet_1_0__leaf_net480,7.3µm
net605,7.28µm
net378,7.23µm
net556,7.22µm
net555,7.19µm
net272,7.18µm
net473,7.14µm
net640,7.1µm
net395,7.06µm
in25,7.03µm
in55,7.03µm
in59,7.03µm
net535,7µm
net47,6.98µm
in38,6.96µm
net169,6.94µm
in13,6.89µm
in56,6.89µm
net375,6.86µm
net415,6.86µm
net502,6.86µm
net610,6.84µm
net629,6.8µm
net730,6.78µm
in22,6.77µm
net202,6.765µm
net291,6.72µm
in52,6.69µm
out3,6.65µm
net51,6.64µm
net637,6.64µm
net663,6.6µm
in19,6.55µm
in14,6.43µm
net745,6.38µm
net463,6.3µm
net935,6.3µm
net695,6.26µm
net706,6.26µm
net735,6.26µm
net755,6.26µm
net929,6.26µm
net717,6.2µm
net107,6.18µm
net141,6.14µm
net561,6.14µm
net715,6.14µm
net721,6.14µm
in46,6.11µm
net461,6.05µm
net598,6.02µm
in1,5.97µm
net396,5.96µm
clknet_1_1__leaf_net600,5.96µm
in51,5.92µm
net761,5.9µm
net608,5.86µm
clknet_1_0__leaf_net701,5.84µm
in21,5.8µm
in61,5.77µm
out44,5.75µm
out61,5.75µm
net567,5.745µm
net930,5.73µm
net738,5.72µm
net589,5.6µm
net491,5.58µm
net484,5.46µm
net718,5.46µm
out17,5.41µm
out30,5.41µm
out38,5.41µm
out50,5.41µm
net486,5.4µm
net510,5.4µm
net759,5.36µm
net539,5.34µm
net223,5.26µm
net224,5.26µm
net627,5.26µm
net377,5.14µm
out37,5.07µm
out47,5.07µm
out6,5.07µm
net720,5.04µm
net448,4.94µm
net560,4.94µm
net705,4.92µm
net915,4.88µm
net919,4.88µm
net590,4.87µm
net587,4.8µm
net60,4.8µm
net719,4.8µm
net868,4.76µm
clknet_1_1__leaf_net719,4.76µm
out7,4.73µm
net698,4.7µm
net615,4.68µm
net170,4.58µm
net577,4.56µm
net476,4.46µm
net522,4.46µm
net729,4.46µm
net754,4.46µm
net565,4.42µm
clknet_1_0__leaf_net396,4.34µm
net454,4.32µm
net124,4.24µm
net612,4.24µm
net344,4.2µm
net559,4.02µm
net686,4µm
net767,4µm
net140,3.99µm
net281,3.88µm
net751,3.88µm
net765,3.88µm
net766,3.88µm
net644,3.78µm
net583,3.66µm
net372,3.54µm
net54,3.54µm
net638,3.52µm
net636,3.47µm
net622,3.44µm
net346,3.42µm
net573,3.42µm
net625,3.42µm
net626,3.42µm
net504,3.345µm
net549,3.32µm
net345,3.3µm
net648,3.2µm
net938,3.15µm
net359,3.1µm
net153,3.08µm
net949,3.08µm
net487,2.92µm
net173,2.76µm
net631,2.76µm
net725,2.74µm
net621,2.73µm
net649,2.73µm
net174,2.62µm
net182,2.62µm
net578,2.62µm
net675,2.62µm
