┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins    ┃ Disconnected ┃ Signal Pins      ┃ Disconnected     ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━┩
│ netlist_1      │ VPWR          │              │ clk              │ out28            │
│                │ merge791/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge817       │ merge817/VGND │              │ merge817/RESET_B │ merge817/D       │
│                │ merge817/VNB  │              │ merge817/Q       │                  │
│                │ merge817/VPB  │              │ merge817/Q_N     │                  │
│                │ merge817/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge825       │ merge825/VGND │              │ merge825/RESET_B │ merge825/D       │
│                │ merge825/VNB  │              │ merge825/Q       │                  │
│                │ merge825/VPB  │              │                  │                  │
│                │ merge825/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge831       │ merge831/VGND │              │ merge831/SCE     │ merge831/GATE    │
│                │ merge831/VNB  │              │ merge831/GCLK    │                  │
│                │ merge831/VPB  │              │                  │                  │
│                │ merge831/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge834       │ merge834/VGND │              │ merge834/RESET_B │ merge834/D       │
│                │ merge834/VNB  │              │ merge834/Q       │                  │
│                │ merge834/VPB  │              │ merge834/Q_N     │                  │
│                │ merge834/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge866       │ merge866/VGND │              │ merge866/RESET_B │ merge866/D       │
│                │ merge866/VNB  │              │ merge866/Q       │                  │
│                │ merge866/VPB  │              │                  │                  │
│                │ merge866/VPWR │              │                  │                  │
├────────────────┼───────────────┼──────────────┼──────────────────┼──────────────────┤
│ merge871       │ merge871/VGND │              │ merge871/D       │ merge871/SET_B   │
│                │ merge871/VNB  │              │ merge871/Q       │                  │
│                │ merge871/VPB  │              │                  │                  │
│                │ merge871/VPWR │              │                  │                  │
└────────────────┴───────────────┴──────────────┴──────────────────┴──────────────────┘
