net,length_um
net109,48.06µm
net263,48µm
net18,47.76µm
clknet_0_net434,47.56µm
net253,47.5µm
net99,47.5µm
net923,47.37µm
net274,47.36µm
net692,47.29µm
net271,47.26µm
net187,47.22µm
net279,47.12µm
net426,47.1µm
net684,46.88µm
net360,46.68µm
net68,46.665µm
net682,46.56µm
net399,46.37µm
net209,46.24µm
net198,46.165µm
net205,45.96µm
net836,45.69µm
net1006,45.54µm
clknet_1_0__leaf_net434,45.38µm
net874,45.28µm
net897,44.85µm
net755,44.8µm
net93,44.79µm
net130,44.78µm
net795,44.78µm
net197,44.4µm
net916,43.62µm
net510,43.35µm
net183,43.2µm
net461,43.2µm
net595,43.05µm
net827,42.68µm
net545,42.62µm
net317,42.58µm
clknet_0_net843,42.44µm
clknet_1_0__leaf_net868,42.37µm
net370,41.06µm
clknet_1_1__leaf_net431,41µm
net305,40.98µm
net663,40.75µm
net125,40.56µm
net108,40.18µm
net798,40.05µm
net246,39.94µm
net558,39.84µm
net22,39.76µm
clknet_1_0__leaf_net454,39.7µm
net989,39.66µm
net437,39.18µm
net869,39.18µm
net573,38.84µm
net1,38.74µm
net202,38.72µm
clknet_1_0__leaf_net547,38.63µm
net368,38.54µm
net330,38.355µm
clknet_1_0__leaf_net702,38.34µm
net522,38.3µm
net37,38.01µm
net883,37.975µm
net575,37.84µm
net6,37.8µm
net124,37.54µm
net676,37.48µm
net867,37.44µm
net395,37.42µm
net803,37.12µm
net153,36.8µm
net50,36.76µm
net523,36.73µm
net334,36.65µm
net1010,36.52µm
net407,36.485µm
clknet_1_0__leaf_net233,36.44µm
net192,36.38µm
net281,36.23µm
clknet_1_1__leaf_net170,36.21µm
net886,36.16µm
net73,36.02µm
net92,35.99µm
clknet_1_1__leaf_net457,35.96µm
net200,35.9µm
net383,35.9µm
net262,35.86µm
net719,35.77µm
net72,35.64µm
clknet_1_0__leaf_net757,35.6µm
net908,35.3µm
net529,35.12µm
net150,35.02µm
net791,35µm
clknet_1_0__leaf_net741,34.94µm
net998,34.91µm
clknet_0_net454,34.86µm
net138,34.84µm
net216,34.8µm
net10,34.64µm
net406,34.36µm
net613,34.335µm
net594,34.32µm
clknet_0_net689,33.93µm
net526,33.56µm
net400,33.46µm
clknet_0_net824,33.3µm
net469,33.28µm
net107,33.16µm
net914,33.08µm
net922,32.96µm
net742,32.92µm
net690,32.58µm
net433,32.36µm
net714,32.34µm
clknet_1_0__leaf_net465,32.34µm
net681,32.32µm
clknet_1_0__leaf_net368,32.24µm
