net,length_um
clknet_1_0__leaf_net542,74.2µm
net546,73.96µm
net948,73.64µm
net1,73.58µm
net1109,73.42µm
net1138,73.36µm
net979,72.92µm
net754,72.67µm
net720,72.54µm
net118,72.525µm
net1128,72.52µm
net927,72.46µm
net956,72.3µm
clknet_1_0__leaf_net924,72.21µm
net653,72.18µm
net1102,72.1µm
net676,72.04µm
net890,71.83µm
clknet_1_0__leaf_net300,71.675µm
net1046,71.61µm
net895,71.52µm
net20,71.36µm
net684,71.26µm
clknet_1_0__leaf_net474,70.96µm
net752,70.43µm
clknet_1_0__leaf_net779,70.4µm
clknet_1_1__leaf_net744,70.245µm
net803,70.04µm
net883,69.42µm
net849,69.22µm
net65,69.12µm
net763,68.92µm
net745,68.66µm
clknet_0_net779,68.5µm
net467,68.45µm
net87,68.22µm
net697,68.13µm
net851,67.94µm
net1016,67.86µm
net5,67.76µm
net1123,67.72µm
net1115,67.71µm
net672,67.4µm
net555,67.325µm
net368,67.3µm
net1126,66.98µm
clknet_1_0__leaf_net744,66.81µm
net334,66.725µm
clknet_1_1__leaf_net474,66.2µm
net774,66.13µm
net32,65.92µm
net29,65.9µm
net959,65.62µm
clknet_1_1__leaf_net952,65.04µm
clknet_1_1__leaf_net761,64.83µm
net747,64.68µm
net367,64.45µm
clknet_1_1__leaf_net332,64.22µm
net296,64.04µm
net312,63.42µm
clknet_1_0__leaf_net386,63.37µm
net767,63.27µm
net746,62.94µm
net447,62.88µm
net673,62.77µm
net935,62.4µm
net1112,62.32µm
clknet_1_0__leaf_net927,62.2µm
net335,62.195µm
clknet_1_1__leaf_net62,61.92µm
clknet_1_1__leaf_net177,61.77µm
net952,61.7µm
net153,61.56µm
clknet_1_0__leaf_net780,61.4µm
clknet_1_1__leaf_net48,61.12µm
net69,61.02µm
clknet_1_1__leaf_net798,60.91µm
net790,60.83µm
net246,60.62µm
clknet_1_0__leaf_net403,60.55µm
clknet_1_0__leaf_net743,60.5µm
net240,60.04µm
net223,59.945µm
clknet_1_1__leaf_net331,59.82µm
net977,59.58µm
clknet_1_0__leaf_net250,59.44µm
net70,59.43µm
net420,59.36µm
net576,59.26µm
net354,59.22µm
net884,59.2µm
clknet_1_1__leaf_net834,59.19µm
net525,58.8µm
net1069,58.77µm
net992,58.28µm
clknet_1_0__leaf_net182,58.225µm
net947,58.14µm
net1139,57.98µm
clknet_1_0__leaf_net977,57.9µm
net830,57.82µm
net440,57.76µm
clknet_0_net762,57.74µm
net281,57.685µm
net712,57.6µm
net1035,57.46µm
net290,57.45µm
net869,57.26µm
clknet_1_0__leaf_net62,57.16µm
net116,56.86µm
net71,56.85µm
clknet_0_net246,56.82µm
net587,56.8µm
clknet_1_1__leaf_net403,56.765µm
net666,56.74µm
net90,56.68µm
net867,56.56µm
net674,56.49µm
net557,56.34µm
net292,56.26µm
net1149,56.26µm
net333,56.185µm
net991,56.08µm
clknet_1_1__leaf_net245,55.7µm
net1118,55.68µm
net721,55.66µm
net944,55.52µm
clknet_1_1__leaf_net300,55.13µm
net504,55.11µm
clknet_1_0__leaf_net369,54.82µm
clknet_0_net542,54.58µm
clknet_1_1__leaf_net182,54.38µm
clknet_1_1__leaf_net815,54.24µm
net773,54.09µm
net972,54µm
net342,53.2µm
clknet_1_1__leaf_net780,53.2µm
net492,53.06µm
clknet_1_0__leaf_net834,52.96µm
net255,52.92µm
net94,52.74µm
net439,52.72µm
clknet_0_net952,52.72µm
net862,52.65µm
net708,52.62µm
net791,52.58µm
clknet_1_1__leaf_net401,52.58µm
clknet_1_0__leaf_net760,52.58µm
net985,52.54µm
clknet_1_0__leaf_net705,52.52µm
net898,52.5µm
net1097,52.39µm
net864,52.28µm
net729,52.05µm
net921,51.74µm
net728,51.72µm
net561,51.7µm
net749,51.6µm
net581,51.55µm
net730,51.43µm
net530,51.38µm
net258,51.36µm
net149,51.2µm
net815,51.2µm
net793,50.94µm
net146,50.9µm
net810,50.88µm
net818,50.76µm
clknet_1_0__leaf_net251,50.76µm
clknet_1_0__leaf_net852,50.52µm
net184,50.4µm
net1142,50.38µm
net698,50.12µm
