net,length_um
clknet_1_0__leaf_net816,19.59µm
clknet_1_1__leaf_net816,19.53µm
net288,19.48µm
net508,19.48µm
net565,19.48µm
net423,19.24µm
clknet_1_1__leaf_net817,19.24µm
net228,19.18µm
net885,19.16µm
clknet_1_1__leaf_net356,19.02µm
net488,18.98µm
net642,18.94µm
net787,18.9µm
clknet_0_net776,18.9µm
net626,18.865µm
net589,18.86µm
net597,18.84µm
net732,18.74µm
net988,18.68µm
net134,18.58µm
clknet_1_0__leaf_net797,18.53µm
net619,18.48µm
net247,18.44µm
clknet_0_net350,18.44µm
net794,18.42µm
clknet_1_1__leaf_net451,18.4µm
clknet_1_1__leaf_net271,18.4µm
net354,18.38µm
clknet_1_0__leaf_net452,18.36µm
net770,18.28µm
clknet_0_net452,18.28µm
net70,18.26µm
net638,18.24µm
net886,18.18µm
net745,18.14µm
net468,18.105µm
net408,18.1µm
clknet_1_0__leaf_net271,18.05µm
net241,18.04µm
net348,18.04µm
net200,17.94µm
net645,17.94µm
clknet_1_0__leaf_net817,17.9µm
net695,17.895µm
net250,17.8µm
clknet_1_1__leaf_net914,17.8µm
net283,17.76µm
clknet_0_net204,17.72µm
net336,17.68µm
net497,17.68µm
clknet_1_1__leaf_net576,17.68µm
net840,17.64µm
net451,17.62µm
net778,17.56µm
net992,17.44µm
net375,17.4µm
clknet_0_net913,17.38µm
clknet_1_0__leaf_net601,17.38µm
net663,17.27µm
net473,17.18µm
net968,17.06µm
net432,17.035µm
net814,17.03µm
net117,17.02µm
net455,17.02µm
net755,17.02µm
net141,16.94µm
net244,16.9µm
clknet_0_net360,16.9µm
clknet_0_net576,16.88µm
clknet_1_1__leaf_net597,16.76µm
net971,16.74µm
net722,16.69µm
net125,16.64µm
net303,16.6µm
net259,16.5µm
net512,16.44µm
net47,16.34µm
net474,16.28µm
net503,16.28µm
clknet_1_0__leaf_net348,16.26µm
net639,16.2µm
clknet_1_1__leaf_net577,16.2µm
net296,16.18µm
net578,16.18µm
net977,16.08µm
net100,16.06µm
net45,16.06µm
clknet_1_1__leaf_net247,16.06µm
clknet_0_net238,16.06µm
net801,16.04µm
net428,15.88µm
net758,15.84µm
clknet_1_0__leaf_net195,15.8µm
clknet_1_0__leaf_net587,15.78µm
net599,15.76µm
net568,15.75µm
net447,15.74µm
net258,15.64µm
net165,15.54µm
net703,15.48µm
net357,15.42µm
net492,15.38µm
net836,15.34µm
clknet_1_1__leaf_net589,15.34µm
net331,15.26µm
net797,15.26µm
