net,length_um
in31,8.72µm
in42,8.72µm
in43,8.72µm
in45,8.72µm
in47,8.72µm
in51,8.72µm
net202,8.7µm
net605,8.7µm
clknet_1_0__leaf_net269,8.7µm
net460,8.68µm
net586,8.66µm
net533,8.64µm
in29,8.61µm
net559,8.6µm
net34,8.58µm
net398,8.56µm
net276,8.52µm
out0,8.5µm
out20,8.5µm
out21,8.5µm
out24,8.5µm
out30,8.5µm
out34,8.5µm
out35,8.5µm
out45,8.5µm
out6,8.5µm
out9,8.5µm
net441,8.45µm
clknet_1_0__leaf_net507,8.44µm
net845,8.44µm
in5,8.39µm
net57,8.37µm
net316,8.34µm
clknet_1_0__leaf_net270,8.2µm
clknet_0_net381,8.16µm
net320,8.1µm
net519,8.1µm
net641,8.06µm
in20,8.05µm
in6,8.05µm
net379,8.01µm
net747,7.98µm
net91,7.94µm
net831,7.94µm
net642,7.82µm
clknet_1_0__leaf_net373,7.82µm
net187,7.765µm
in40,7.71µm
net191,7.68µm
net528,7.68µm
net65,7.68µm
net592,7.66µm
net594,7.655µm
net310,7.52µm
net731,7.52µm
net825,7.48µm
net243,7.4µm
net426,7.36µm
in28,7.35µm
in7,7.3µm
net435,7.26µm
net292,7.22µm
net425,7.22µm
net575,7.21µm
net41,7.18µm
net314,7.14µm
net498,7.04µm
in19,7.03µm
in23,7.03µm
in4,7.01µm
net257,7µm
net544,6.98µm
net687,6.96µm
net331,6.94µm
net178,6.72µm
in0,6.67µm
in35,6.67µm
in39,6.65µm
out27,6.65µm
net454,6.64µm
net816,6.64µm
net821,6.64µm
net167,6.62µm
net404,6.6µm
net647,6.48µm
clknet_1_0__leaf_net385,6.48µm
net469,6.44µm
in1,6.43µm
net366,6.4µm
net283,6.38µm
in10,6.33µm
in12,6.33µm
in26,6.33µm
net451,6.3µm
in14,6.26µm
in15,6.26µm
net285,6.14µm
net380,6.14µm
net524,6.14µm
net335,6.08µm
net806,6.08µm
net213,6.06µm
net173,6.04µm
clknet_1_1__leaf_net385,6.04µm
in11,5.99µm
in3,5.99µm
in37,5.99µm
in9,5.97µm
net229,5.96µm
net522,5.96µm
net49,5.92µm
net192,5.84µm
net280,5.84µm
net321,5.84µm
net476,5.84µm
net652,5.84µm
net600,5.8µm
net827,5.8µm
net254,5.77µm
out13,5.75µm
out25,5.75µm
