Metric,Value
timing__setup__ws__corner:min_ff_n40C_1v95,-8.223701
timing__hold__tns__corner:min_ff_n40C_1v95,-5.886071
timing__setup__tns__corner:min_ff_n40C_1v95,-380.921814
timing__hold__wns__corner:min_ff_n40C_1v95,-1.300694
timing__setup__wns__corner:min_ff_n40C_1v95,-8.223701
timing__hold_vio__count__corner:min_ff_n40C_1v95,20
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,-1.300694
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,15
timing__setup_vio__count__corner:min_ff_n40C_1v95,289
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,-8.223701
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,266
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,136
design__max_cap_violation__count__corner:max_tt_025C_1v80,1
clock__skew__worst_hold__corner:max_tt_025C_1v80,-2.652894
clock__skew__worst_setup__corner:max_tt_025C_1v80,-2.636157
timing__hold__ws__corner:max_tt_025C_1v80,-1.896222
timing__setup__ws__corner:max_tt_025C_1v80,-8.388803
timing__hold__tns__corner:max_tt_025C_1v80,-7.870529
timing__setup__tns__corner:max_tt_025C_1v80,-594.794556
timing__hold__wns__corner:max_tt_025C_1v80,-1.896222
timing__setup__wns__corner:max_tt_025C_1v80,-8.388803
timing__hold_vio__count__corner:max_tt_025C_1v80,12
timing__hold_r2r__ws__corner:max_tt_025C_1v80,-1.896222
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,8
timing__setup_vio__count__corner:max_tt_025C_1v80,298
timing__setup_r2r__ws__corner:max_tt_025C_1v80,-8.388803
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,271
timing__unannotated_net__count__corner:max_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,176
design__max_fanout_violation__count__corner:max_ss_100C_1v60,136
design__max_cap_violation__count__corner:max_ss_100C_1v60,1
clock__skew__worst_hold__corner:max_ss_100C_1v60,-4.788965
clock__skew__worst_setup__corner:max_ss_100C_1v60,-4.763644
timing__hold__ws__corner:max_ss_100C_1v60,-3.091805
timing__setup__ws__corner:max_ss_100C_1v60,-8.740143
timing__hold__tns__corner:max_ss_100C_1v60,-13.552175
timing__setup__tns__corner:max_ss_100C_1v60,-1163.754395
timing__hold__wns__corner:max_ss_100C_1v60,-3.091805
timing__setup__wns__corner:max_ss_100C_1v60,-8.740143
timing__hold_vio__count__corner:max_ss_100C_1v60,13
timing__hold_r2r__ws__corner:max_ss_100C_1v60,-3.091805
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,6
timing__setup_vio__count__corner:max_ss_100C_1v60,344
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-8.740143
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,296
timing__unannotated_net__count__corner:max_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,136
design__max_cap_violation__count__corner:max_ff_n40C_1v95,1
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-1.741669
clock__skew__worst_setup__corner:max_ff_n40C_1v95,-1.721655
timing__hold__ws__corner:max_ff_n40C_1v95,-1.36734
timing__setup__ws__corner:max_ff_n40C_1v95,-8.240532
timing__hold__tns__corner:max_ff_n40C_1v95,-5.935712
timing__setup__tns__corner:max_ff_n40C_1v95,-393.441833
timing__hold__wns__corner:max_ff_n40C_1v95,-1.36734
timing__setup__wns__corner:max_ff_n40C_1v95,-8.240532
timing__hold_vio__count__corner:max_ff_n40C_1v95,20
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,-1.36734
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,15
timing__setup_vio__count__corner:max_ff_n40C_1v95,289
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,-8.240532
