net,length_um
net161,48.505µm
net566,48.38µm
net978,48.26µm
net495,47.96µm
clknet_1_1__leaf_net303,47.86µm
clknet_1_1__leaf_net529,47.84µm
net642,47.74µm
net715,47.67µm
clknet_0_net847,47.52µm
net930,47.4µm
net345,47.34µm
net114,47.32µm
clknet_0_net580,47.32µm
net1091,47.3µm
net761,47.25µm
net847,47.24µm
net223,46.9µm
net964,46.9µm
net10,46.88µm
clknet_1_1__leaf_net345,46.74µm
clknet_1_0__leaf_net481,46.6µm
net675,46.56µm
net128,46.46µm
net517,46.32µm
net681,46.2µm
clknet_1_0__leaf_net849,46.04µm
net922,46.02µm
net145,45.92µm
net570,45.86µm
net388,45.78µm
net992,45.66µm
net485,45.64µm
net370,45.5µm
net575,45.44µm
net813,45.42µm
net706,45.4µm
clknet_1_0__leaf_net283,45.35µm
net79,45.3µm
clknet_1_0__leaf_net583,44.98µm
net152,44.82µm
net7,44.78µm
net224,44.69µm
net723,44.44µm
net91,44.26µm
net748,44.115µm
net468,43.835µm
net707,43.77µm
net107,43.74µm
net199,43.6µm
net1084,43.6µm
net279,43.1µm
net945,43µm
clknet_1_1__leaf_net971,42.96µm
net235,42.5µm
net875,42.5µm
net529,42.48µm
net397,42.36µm
net249,42.18µm
net859,42.16µm
clknet_0_net366,42.14µm
clknet_1_1__leaf_net762,41.84µm
net476,41.72µm
net261,41.645µm
net946,41.62µm
net470,41.52µm
net21,41.34µm
net37,41.28µm
net531,41.26µm
clknet_1_1__leaf_net283,40.92µm
clknet_0_net889,40.74µm
clknet_0_net455,40.7µm
net737,40.52µm
net727,40.23µm
clknet_0_net981,40.1µm
net465,39.96µm
net385,39.94µm
net912,39.78µm
net156,39.42µm
net436,39.34µm
net538,39.3µm
net221,39.2µm
net660,39.15µm
net532,38.94µm
net322,38.9µm
net420,38.86µm
net1009,38.82µm
net477,38.44µm
net954,38.3µm
net891,38.17µm
net869,38.1µm
clknet_1_0__leaf_net868,38.1µm
net990,38.02µm
clknet_1_1__leaf_net347,38.005µm
clknet_1_0__leaf_net580,37.98µm
net949,37.68µm
net780,37.54µm
net40,37.48µm
net646,37.28µm
net70,37.26µm
net625,37.06µm
clknet_1_1__leaf_net313,37.06µm
net923,36.98µm
clknet_1_0__leaf_net888,36.97µm
clknet_1_1__leaf_net799,36.88µm
clknet_1_1__leaf_net340,36.44µm
net186,36.34µm
net418,36.14µm
clknet_0_net613,36.06µm
clknet_1_0__leaf_net529,36.06µm
clknet_0_net350,35.98µm
net162,35.96µm
net771,35.845µm
net213,35.66µm
net411,35.26µm
clknet_1_0__leaf_net889,35.26µm
clknet_0_net560,35.14µm
net583,34.92µm
clknet_0_net243,34.9µm
clknet_0_net164,34.86µm
clknet_1_1__leaf_net547,34.78µm
net280,34.72µm
net490,34.72µm
net885,34.64µm
net185,34.56µm
net1,34.38µm
net702,34.3µm
net273,34.235µm
clknet_1_1__leaf_net284,34.22µm
clknet_0_net275,34.22µm
net760,34.18µm
net4,34.04µm
net236,34.035µm
net1044,33.84µm
clknet_1_1__leaf_net428,33.75µm
net789,33.73µm
net888,33.7µm
net194,33.66µm
clknet_1_0__leaf_net799,33.5µm
net595,33.325µm
clknet_1_1__leaf_net583,33.12µm
net32,33.08µm
net206,33.06µm
clknet_0_net762,33µm
net183,32.96µm
net130,32.9µm
net695,32.74µm
clknet_0_net887,32.64µm
net881,32.55µm
net170,32.48µm
net979,32.46µm
net44,32.385µm
net739,32.33µm
net326,32.28µm
clknet_1_1__leaf_net598,32.1µm
net384,32µm
net804,31.95µm
clknet_0_net799,31.92µm
net383,31.84µm
clknet_1_1__leaf_net887,31.74µm
net291,31.72µm
net590,31.465µm
clknet_0_net249,31.46µm
net61,31.41µm
net516,31.4µm
net667,31.36µm
net26,31.34µm
net951,31.325µm
net982,31.22µm
net491,31.08µm
clknet_1_0__leaf_net337,30.9µm
net1010,30.88µm
net671,30.82µm
net770,30.75µm
net873,30.7µm
clknet_1_1__leaf_net458,30.6µm
clknet_1_0__leaf_net340,30.38µm
net316,30.34µm
net893,30.34µm
net89,30.305µm
clknet_1_0__leaf_net867,30.13µm
net634,30.12µm
net768,30.04µm
net127,30.03µm
net350,30µm
net361,29.84µm
net338,29.67µm
net1025,29.64µm
net133,29.34µm
clknet_1_0__leaf_net249,29.32µm
net430,29.28µm
net896,29.26µm
clknet_1_1__leaf_net981,29.2µm
clknet_1_1__leaf_net867,29.16µm
clknet_1_0__leaf_net350,29.06µm
net77,29µm
net255,28.74µm
net718,28.695µm
net564,28.64µm
net573,28.6µm
net601,28.38µm
clknet_0_net971,28.32µm
clknet_0_net867,28.32µm
net494,28.26µm
clknet_1_1__leaf_net849,28.24µm
net553,28.2µm
clknet_0_net593,28.2µm
net1003,27.94µm
net365,27.88µm
net443,27.86µm
net329,27.84µm
net20,27.79µm
net959,27.74µm
net115,27.32µm
net668,27.29µm
clknet_0_net245,27.2µm
net24,27.145µm
clknet_0_net598,27.14µm
clknet_0_net313,26.98µm
clknet_0_net139,26.94µm
net58,26.81µm
net803,26.54µm
clknet_0_net168,26.54µm
net493,26.53µm
clknet_0_net473,26.48µm
net203,26.33µm
clknet_1_1__leaf_net827,26.18µm
net827,26.1µm
clknet_0_net623,26.1µm
clknet_0_net345,26.02µm
net139,25.96µm
net777,25.62µm
clknet_1_1__leaf_net560,25.6µm
net290,25.58µm
net867,25.52µm
clknet_1_0__leaf_net887,25.51µm
net862,25.5µm
net1082,25.42µm
net360,25.36µm
clknet_1_1__leaf_net366,25.34µm
net442,25.005µm
clknet_1_0__leaf_net545,24.94µm
net198,24.905µm
net635,24.9µm
net112,24.83µm
net407,24.74µm
net254,24.59µm
net314,24.56µm
clknet_1_0__leaf_net628,24.54µm
net705,24.48µm
net244,24.46µm
clknet_1_0__leaf_net971,24.42µm
net623,24.3µm
net242,24.24µm
net901,24.14µm
net1061,24.12µm
net1073,24.06µm
clknet_0_net352,24.04µm
net938,23.915µm
clknet_1_0__leaf_net614,23.88µm
