net,length_um
net914,27.28µm
clknet_1_1__leaf_net194,27.27µm
clknet_1_0__leaf_net62,27.18µm
net725,27.08µm
net899,27.06µm
net357,26.94µm
clknet_1_0__leaf_net207,26.9µm
net331,26.83µm
net113,26.8µm
clknet_0_net191,26.68µm
net181,26.58µm
net930,26.56µm
clknet_1_1__leaf_net207,26.51µm
net432,26.5µm
clknet_0_net341,26.4µm
net877,26.38µm
net879,26.3µm
clknet_1_0__leaf_net332,26.25µm
net129,26.22µm
net19,26.2µm
clknet_1_0__leaf_net221,26.1µm
clknet_0_net66,26.08µm
clknet_0_net207,25.86µm
clknet_1_0__leaf_net181,25.78µm
net322,25.705µm
net718,25.7µm
net560,25.67µm
net341,25.64µm
net349,25.6µm
clknet_1_1__leaf_net68,25.54µm
net533,25.5µm
net366,25.325µm
net369,25.28µm
net782,25.24µm
net4,25.045µm
net107,24.84µm
net555,24.83µm
net134,24.72µm
clknet_0_net194,24.72µm
clknet_0_net865,24.66µm
net243,24.625µm
net18,24.46µm
net296,24.425µm
net199,24.36µm
net434,24.34µm
net852,24.26µm
clknet_1_1__leaf_net327,24.25µm
net529,24.06µm
clknet_0_net775,24.06µm
net27,23.86µm
net504,23.83µm
net28,23.8µm
net313,23.74µm
net105,23.49µm
clknet_0_net73,23.46µm
net137,23.45µm
net421,23.38µm
net593,23.38µm
net525,23.3µm
net667,23.3µm
net332,23.26µm
net735,23.18µm
net752,23.16µm
net427,23.14µm
net535,22.98µm
net26,22.96µm
clknet_1_0__leaf_net776,22.85µm
net215,22.825µm
net345,22.78µm
clknet_0_net776,22.76µm
clknet_1_0__leaf_net876,22.7µm
net330,22.67µm
net654,22.64µm
clknet_1_1__leaf_net181,22.62µm
net293,22.585µm
clknet_0_net64,22.58µm
clknet_1_0__leaf_net775,22.54µm
net187,22.5µm
net347,22.46µm
net401,22.46µm
clknet_0_net205,22.42µm
net692,22.39µm
net970,22.38µm
net236,22.34µm
clknet_0_net739,22.34µm
net403,22.28µm
net32,22.24µm
net242,22.195µm
net391,22.16µm
net537,22.12µm
net106,22.1µm
net646,22.02µm
clknet_1_1__leaf_net341,21.88µm
net559,21.78µm
net929,21.78µm
net496,21.77µm
net910,21.74µm
net607,21.625µm
clknet_0_net758,21.58µm
clknet_1_1__leaf_net189,21.58µm
net778,21.56µm
net464,21.45µm
net232,21.405µm
net880,21.26µm
net840,21.24µm
net666,21.12µm
net554,21.05µm
net20,21.04µm
clknet_0_net723,21.04µm
net208,21µm
clknet_1_1__leaf_net722,20.98µm
net556,20.92µm
net82,20.84µm
net304,20.725µm
net225,20.58µm
net942,20.53µm
net23,20.5µm
net80,20.5µm
clknet_0_net190,20.48µm
net863,20.44µm
clknet_1_1__leaf_net757,20.44µm
net388,20.325µm
net620,20.26µm
net8,20.24µm
net205,20.16µm
out49,20.07µm
net153,20.04µm
