┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins    ┃ Disconnected ┃ Signal Pins  ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ netlist_1      │ VPWR          │              │ clk          │ out24        │
│                │ c707/VNB      │              │ c707/RESET_B │              │
│                │ c707/VPB      │              │ c707/SET_B   │              │
│                │ c707/VPWR     │              │ c707/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c710           │ c710/VGND     │              │ c710/D       │ c710/Q_N     │
│                │ c710/VNB      │              │ c710/RESET_B │              │
│                │ c710/VPB      │              │ c710/SET_B   │              │
│                │ c710/VPWR     │              │ c710/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c712           │ c712/VGND     │              │ c712/D       │ c712/Q_N     │
│                │ c712/VNB      │              │ c712/SCD     │              │
│                │ c712/VPB      │              │ c712/SCE     │              │
│                │ c712/VPWR     │              │ c712/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c714           │ c714/VGND     │              │ c714/D       │ c714/Q_N     │
│                │ c714/VNB      │              │ c714/SCD     │              │
│                │ c714/VPB      │              │ c714/SCE     │              │
│                │ c714/VPWR     │              │ c714/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c745           │ c745/VGND     │              │ c745/D       │ c745/Q_N     │
│                │ c745/VNB      │              │ c745/RESET_B │              │
│                │ c745/VPB      │              │ c745/SET_B   │              │
│                │ c745/VPWR     │              │ c745/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c754           │ c754/VGND     │              │ c754/D       │ c754/Q_N     │
│                │ c754/VNB      │              │ c754/RESET_B │              │
│                │ c754/VPB      │              │ c754/SCD     │              │
│                │ c754/VPWR     │              │ c754/SCE     │              │
│                │               │              │ c754/SET_B   │              │
│                │               │              │ c754/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c755           │ c755/VGND     │              │ c755/D       │ c755/Q_N     │
│                │ c755/VNB      │              │ c755/RESET_B │              │
│                │ c755/VPB      │              │ c755/SCD     │              │
│                │ c755/VPWR     │              │ c755/SCE     │              │
│                │               │              │ c755/SET_B   │              │
│                │               │              │ c755/Q       │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ c756           │ c756/VGND     │              │ c756/A1      │ c756/X       │
│                │ c756/VNB      │              │ c756/A2      │              │
│                │ c756/VPB      │              │ c756/A3      │              │
│                │ c756/VPWR     │              │ c756/B1      │              │
│                │               │              │ c756/C1      │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ merge768       │ merge768/VGND │              │ merge768/D   │ merge768/SCE │
│                │ merge768/VNB  │              │ merge768/SCD │              │
│                │ merge768/VPB  │              │ merge768/Q   │              │
│                │ merge768/VPWR │              │ merge768/Q_N │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ s790           │ s790/VGND     │              │ s790/D       │ s790/Q_N     │
│                │ s790/VNB      │              │ s790/Q       │              │
│                │ s790/VPB      │              │              │              │
│                │ s790/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ s792           │ s792/VGND     │              │ s792/D       │ s792/Q_N     │
│                │ s792/VNB      │              │ s792/Q       │              │
│                │ s792/VPB      │              │              │              │
│                │ s792/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ s798           │ s798/VGND     │              │ s798/D       │ s798/Q_N     │
│                │ s798/VNB      │              │ s798/Q       │              │
│                │ s798/VPB      │              │              │              │
│                │ s798/VPWR     │              │              │              │
├────────────────┼───────────────┼──────────────┼──────────────┼──────────────┤
│ s799           │ s799/VGND     │              │ s799/D       │ s799/Q_N     │
│                │ s799/VNB      │              │ s799/Q       │              │
│                │ s799/VPB      │              │              │              │
│                │ s799/VPWR     │              │              │              │
└────────────────┴───────────────┴──────────────┴──────────────┴──────────────┘
