net,length_um
net53,52.5µm
net382,52.46µm
net38,52.26µm
clknet_1_0__leaf_net517,51.855µm
net367,51.62µm
net74,51.58µm
net672,51.5µm
net801,51.46µm
net723,51.215µm
net400,51.21µm
net218,51.12µm
net198,50.82µm
clknet_1_0__leaf_net146,50.74µm
net111,50.66µm
clknet_1_0__leaf_net570,50.62µm
net143,50.58µm
clknet_1_1__leaf_net517,50.58µm
net854,50.54µm
net921,50.44µm
net86,50.18µm
clknet_0_net365,50.08µm
net119,50.06µm
net768,49.785µm
net416,49.78µm
net510,49.34µm
clknet_0_net366,49.32µm
clknet_1_0__leaf_net445,49.32µm
clknet_1_0__leaf_net292,49.12µm
net301,49.08µm
net547,48.995µm
net694,48.68µm
net161,48.52µm
net756,48.14µm
net548,47.86µm
net296,47.68µm
net57,47.59µm
net377,47.57µm
net268,47.56µm
net309,47.41µm
clknet_1_0__leaf_net584,47.3µm
net646,47.18µm
net155,47.06µm
net764,47.06µm
net229,46.84µm
net788,46.84µm
net270,46.785µm
net372,46.7µm
net109,46.47µm
net233,45.96µm
net657,45.88µm
net445,45.62µm
net92,45.44µm
net374,45.24µm
net540,44.88µm
net653,44.66µm
net861,44.64µm
net623,44.56µm
net26,44.54µm
net809,44.54µm
net812,44.52µm
net700,44.38µm
net579,44.34µm
net959,44.2µm
clknet_0_net794,44.1µm
net745,43.95µm
clknet_1_1__leaf_net414,43.9µm
clknet_1_1__leaf_net595,43.48µm
net264,43.3µm
net708,43.3µm
net535,43.28µm
clknet_1_1__leaf_net527,43.185µm
clknet_1_0__leaf_net563,43.1µm
clknet_1_0__leaf_net407,42.925µm
clknet_0_net939,42.88µm
net717,42.76µm
net358,42.56µm
net1012,42.54µm
net248,42.22µm
net345,42.16µm
net786,42.14µm
net974,42.1µm
net466,42µm
net537,41.98µm
net670,41.74µm
net100,41.66µm
net815,41.66µm
clknet_1_0__leaf_net153,41.65µm
net849,41.625µm
clknet_0_net940,41.42µm
clknet_1_0__leaf_net306,41.34µm
net472,41.26µm
net790,41.24µm
net64,41.22µm
clknet_1_0__leaf_net905,41.16µm
net71,41.1µm
net130,41.06µm
net407,41.04µm
net682,40.77µm
clknet_0_net372,40.58µm
net855,40.5µm
clknet_0_net306,40.38µm
net237,40.24µm
net316,40.23µm
net1028,40.2µm
clknet_0_net748,40.16µm
net773,40.06µm
net517,40µm
clknet_1_1__leaf_net599,39.74µm
net1000,39.66µm
clknet_1_0__leaf_net527,39.56µm
clknet_1_1__leaf_net445,39.56µm
net763,39.46µm
net231,39.45µm
net1016,39.4µm
net446,39.36µm
net447,39.34µm
clknet_1_1__leaf_net160,39.32µm
clknet_1_0__leaf_net143,39.28µm
clknet_1_1__leaf_net407,39.26µm
net841,39.24µm
net340,39.23µm
clknet_0_net638,39.2µm
net11,39.08µm
net654,38.9µm
net944,38.89µm
net713,38.86µm
net160,38.82µm
clknet_1_0__leaf_net286,38.52µm
net924,38.26µm
net114,38.02µm
net686,37.785µm
net1025,37.48µm
net497,37.47µm
net573,37.36µm
net814,37.36µm
clknet_0_net371,37.36µm
net785,37.29µm
net21,37.26µm
net96,37.18µm
clknet_1_1__leaf_net917,37.06µm
net413,36.93µm
net258,36.76µm
net729,36.7µm
net115,36.62µm
net553,36.6µm
net215,36.46µm
net863,36.42µm
net834,36.32µm
net744,36.2µm
net332,36.18µm
net853,36.06µm
clknet_0_net814,36.06µm
net705,35.91µm
net496,35.865µm
net411,35.75µm
net289,35.68µm
net696,35.6µm
net747,35.5µm
net390,35.39µm
clknet_1_0__leaf_net924,35.38µm
net769,35.32µm
clknet_1_0__leaf_net595,35.27µm
clknet_1_0__leaf_net814,35.08µm
net153,34.94µm
clknet_1_1__leaf_net373,34.88µm
net912,34.72µm
net202,34.44µm
net415,34.44µm
net182,34.4µm
net804,34.37µm
clknet_1_1__leaf_net812,34.36µm
net611,34.29µm
clknet_0_net387,34.22µm
clknet_1_0__leaf_net917,34.04µm
net28,34.02µm
net488,33.84µm
net843,33.8µm
clknet_0_net438,33.76µm
net426,33.74µm
net583,33.7µm
clknet_1_1__leaf_net254,33.64µm
clknet_0_net447,33.58µm
net66,33.4µm
net504,33.34µm
net409,32.85µm
clknet_1_0__leaf_net937,32.82µm
net63,32.76µm
net414,32.58µm
clknet_0_net933,32.54µm
net580,32.39µm
net641,32.38µm
net726,32.38µm
net727,32.36µm
net508,32.35µm
net704,32.34µm
clknet_0_net595,32.3µm
clknet_1_1__leaf_net438,32.3µm
clknet_1_1__leaf_net905,32.22µm
clknet_0_net813,31.92µm
net381,31.74µm
net501,31.6µm
net594,31.6µm
clknet_1_0__leaf_net414,31.56µm
clknet_1_1__leaf_net140,31.54µm
net431,31.42µm
net880,31.36µm
clknet_0_net399,31.16µm
net953,31.09µm
net920,31.08µm
net772,30.92µm
net180,30.86µm
net728,30.66µm
net391,30.54µm
net684,30.54µm
net685,30.24µm
net209,30.22µm
net450,30.22µm
net643,30.2µm
clknet_1_0__leaf_net145,30.14µm
net292,30.06µm
net489,30.02µm
net58,29.98µm
clknet_0_net407,29.88µm
net44,29.78µm
net487,29.675µm
clknet_0_net169,29.62µm
net714,29.52µm
clknet_1_1__leaf_net440,29.18µm
net1013,28.79µm
net159,28.78µm
net612,28.7µm
clknet_1_1__leaf_net182,28.565µm
clknet_0_net146,28.5µm
clknet_1_1__leaf_net564,28.5µm
net999,28.48µm
clknet_1_0__leaf_net363,28.36µm
clknet_0_net643,28.32µm
net392,28.14µm
clknet_0_net439,27.92µm
net463,27.82µm
clknet_1_0__leaf_net182,27.82µm
net24,27.805µm
clknet_1_1__leaf_net135,27.78µm
net174,27.74µm
clknet_1_0__leaf_net813,27.73µm
net388,27.72µm
net721,27.64µm
clknet_0_net286,27.62µm
clknet_0_net517,27.6µm
net662,27.58µm
clknet_0_net143,27.46µm
net1029,27.44µm
net1010,27.25µm
net146,27.22µm
net761,27.22µm
net393,27.16µm
clknet_1_1__leaf_net399,27.13µm
clknet_1_0__leaf_net179,27.08µm
clknet_0_net777,27.02µm
net6,26.98µm
clknet_0_net516,26.88µm
clknet_0_net145,26.82µm
net883,26.72µm
clknet_1_0__leaf_net564,26.64µm
net498,26.56µm
clknet_0_net182,26.52µm
net904,26.44µm
net46,26.34µm
net839,26.28µm
net513,26.22µm
net589,26.1µm
net830,26.1µm
net707,26.09µm
